subject_id	object_id
oboInOwl:source	http://purl.org/dc/elements/1.1/source
http://www.w3.org/2004/02/skos/core#prefLabel	http://www.w3.org/2000/01/rdf-schema#label
http://www.w3.org/2004/02/skos/core#altLabel	oboInOwl:hasExactSynonym
http://www.ebi.ac.uk/efo/definition	http://purl.obolibrary.org/obo/IAO_0000115
http://www.ebi.ac.uk/efo/reason_for_obsolescence	rdfs:comment
http://www.ebi.ac.uk/efo/alternative_term	oboInOwl:hasExactSynonym
http://purl.obolibrary.org/obo/ECO_0000218	http://purl.org/dc/elements/1.1/source
http://purl.obolibrary.org/obo/IAO_0000118	oboInOwl:hasExactSynonym
http://purl.obolibrary.org/obo/emapa#part_of	http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/mpath#part_of	http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/so#part_of	http://purl.obolibrary.org/obo/BFO_0000050